R,G,B,RGB,Closest Color,Sentiment Score,Original Words
0,0,0,"(0, 0, 0)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
0,0,50,"(0, 0, 50)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
0,0,100,"(0, 0, 100)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
0,0,150,"(0, 0, 150)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
0,0,200,"(0, 0, 200)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
0,0,250,"(0, 0, 250)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
0,50,0,"(0, 50, 0)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
0,50,50,"(0, 50, 50)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
0,50,100,"(0, 50, 100)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
0,50,150,"(0, 50, 150)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
0,50,200,"(0, 50, 200)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
0,50,250,"(0, 50, 250)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
0,100,0,"(0, 100, 0)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
0,100,50,"(0, 100, 50)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
0,100,100,"(0, 100, 100)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
0,100,150,"(0, 100, 150)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
0,100,200,"(0, 100, 200)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
0,100,250,"(0, 100, 250)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
0,150,0,"(0, 150, 0)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
0,150,50,"(0, 150, 50)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
0,150,100,"(0, 150, 100)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
0,150,150,"(0, 150, 150)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
0,150,200,"(0, 150, 200)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
0,150,250,"(0, 150, 250)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
0,200,0,"(0, 200, 0)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
0,200,50,"(0, 200, 50)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
0,200,100,"(0, 200, 100)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
0,200,150,"(0, 200, 150)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
0,200,200,"(0, 200, 200)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
0,200,250,"(0, 200, 250)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
0,250,0,"(0, 250, 0)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
0,250,50,"(0, 250, 50)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
0,250,100,"(0, 250, 100)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
0,250,150,"(0, 250, 150)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
0,250,200,"(0, 250, 200)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
0,250,250,"(0, 250, 250)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
50,0,0,"(50, 0, 0)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
50,0,50,"(50, 0, 50)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
50,0,100,"(50, 0, 100)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
50,0,150,"(50, 0, 150)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
50,0,200,"(50, 0, 200)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
50,0,250,"(50, 0, 250)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
50,50,0,"(50, 50, 0)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
50,50,50,"(50, 50, 50)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
50,50,100,"(50, 50, 100)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
50,50,150,"(50, 50, 150)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
50,50,200,"(50, 50, 200)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
50,50,250,"(50, 50, 250)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
50,100,0,"(50, 100, 0)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
50,100,50,"(50, 100, 50)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
50,100,100,"(50, 100, 100)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
50,100,150,"(50, 100, 150)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
50,100,200,"(50, 100, 200)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
50,100,250,"(50, 100, 250)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
50,150,0,"(50, 150, 0)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
50,150,50,"(50, 150, 50)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
50,150,100,"(50, 150, 100)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
50,150,150,"(50, 150, 150)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
50,150,200,"(50, 150, 200)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
50,150,250,"(50, 150, 250)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
50,200,0,"(50, 200, 0)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
50,200,50,"(50, 200, 50)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
50,200,100,"(50, 200, 100)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
50,200,150,"(50, 200, 150)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
50,200,200,"(50, 200, 200)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
50,200,250,"(50, 200, 250)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
50,250,0,"(50, 250, 0)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
50,250,50,"(50, 250, 50)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
50,250,100,"(50, 250, 100)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
50,250,150,"(50, 250, 150)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
50,250,200,"(50, 250, 200)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
50,250,250,"(50, 250, 250)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
100,0,0,"(100, 0, 0)",brown,-0.045,"shrink, abundantly, notable, unique, learn, and, submissive"
100,0,50,"(100, 0, 50)",brown,-0.045,"shrink, abundantly, notable, unique, learn, and, submissive"
100,0,100,"(100, 0, 100)",brown,-0.045,"shrink, abundantly, notable, unique, learn, and, submissive"
100,0,150,"(100, 0, 150)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
100,0,200,"(100, 0, 200)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
100,0,250,"(100, 0, 250)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
100,50,0,"(100, 50, 0)",brown,-0.045,"shrink, abundantly, notable, unique, learn, and, submissive"
100,50,50,"(100, 50, 50)",brown,-0.045,"shrink, abundantly, notable, unique, learn, and, submissive"
100,50,100,"(100, 50, 100)",brown,-0.045,"shrink, abundantly, notable, unique, learn, and, submissive"
100,50,150,"(100, 50, 150)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
100,50,200,"(100, 50, 200)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
100,50,250,"(100, 50, 250)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
100,100,0,"(100, 100, 0)",brown,-0.045,"shrink, abundantly, notable, unique, learn, and, submissive"
100,100,50,"(100, 100, 50)",brown,-0.045,"shrink, abundantly, notable, unique, learn, and, submissive"
100,100,100,"(100, 100, 100)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
100,100,150,"(100, 100, 150)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
100,100,200,"(100, 100, 200)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
100,100,250,"(100, 100, 250)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
100,150,0,"(100, 150, 0)",brown,-0.045,"shrink, abundantly, notable, unique, learn, and, submissive"
100,150,50,"(100, 150, 50)",brown,-0.045,"shrink, abundantly, notable, unique, learn, and, submissive"
100,150,100,"(100, 150, 100)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
100,150,150,"(100, 150, 150)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
100,150,200,"(100, 150, 200)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
100,150,250,"(100, 150, 250)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
100,200,0,"(100, 200, 0)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
100,200,50,"(100, 200, 50)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
100,200,100,"(100, 200, 100)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
100,200,150,"(100, 200, 150)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
100,200,200,"(100, 200, 200)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
100,200,250,"(100, 200, 250)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
100,250,0,"(100, 250, 0)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
100,250,50,"(100, 250, 50)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
100,250,100,"(100, 250, 100)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
100,250,150,"(100, 250, 150)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
100,250,200,"(100, 250, 200)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
100,250,250,"(100, 250, 250)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
150,0,0,"(150, 0, 0)",brown,-0.045,"shrink, abundantly, notable, unique, learn, and, submissive"
150,0,50,"(150, 0, 50)",brown,-0.045,"shrink, abundantly, notable, unique, learn, and, submissive"
150,0,100,"(150, 0, 100)",pink,0.079,"ambitious, exquisite, and, place, incredibily, category"
150,0,150,"(150, 0, 150)",pink,0.079,"ambitious, exquisite, and, place, incredibily, category"
150,0,200,"(150, 0, 200)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
150,0,250,"(150, 0, 250)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
150,50,0,"(150, 50, 0)",brown,-0.045,"shrink, abundantly, notable, unique, learn, and, submissive"
150,50,50,"(150, 50, 50)",brown,-0.045,"shrink, abundantly, notable, unique, learn, and, submissive"
150,50,100,"(150, 50, 100)",brown,-0.045,"shrink, abundantly, notable, unique, learn, and, submissive"
150,50,150,"(150, 50, 150)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
150,50,200,"(150, 50, 200)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
150,50,250,"(150, 50, 250)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
150,100,0,"(150, 100, 0)",brown,-0.045,"shrink, abundantly, notable, unique, learn, and, submissive"
150,100,50,"(150, 100, 50)",brown,-0.045,"shrink, abundantly, notable, unique, learn, and, submissive"
150,100,100,"(150, 100, 100)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
150,100,150,"(150, 100, 150)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
150,100,200,"(150, 100, 200)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
150,100,250,"(150, 100, 250)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
150,150,0,"(150, 150, 0)",brown,-0.045,"shrink, abundantly, notable, unique, learn, and, submissive"
150,150,50,"(150, 150, 50)",brown,-0.045,"shrink, abundantly, notable, unique, learn, and, submissive"
150,150,100,"(150, 150, 100)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
150,150,150,"(150, 150, 150)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
150,150,200,"(150, 150, 200)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
150,150,250,"(150, 150, 250)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
150,200,0,"(150, 200, 0)",gold,-0.03,"lotiform, hide, undepartable, preflorating, pull, technocracy"
150,200,50,"(150, 200, 50)",gold,-0.03,"lotiform, hide, undepartable, preflorating, pull, technocracy"
150,200,100,"(150, 200, 100)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
150,200,150,"(150, 200, 150)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
150,200,200,"(150, 200, 200)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
150,200,250,"(150, 200, 250)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
150,250,0,"(150, 250, 0)",yellow,0.013,"exhilerating, array, authority, plausible, redressible, structure"
150,250,50,"(150, 250, 50)",yellow,0.013,"exhilerating, array, authority, plausible, redressible, structure"
150,250,100,"(150, 250, 100)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
150,250,150,"(150, 250, 150)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
150,250,200,"(150, 250, 200)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
150,250,250,"(150, 250, 250)",white,0.0,"hope, unlavish, analeptical, block"
200,0,0,"(200, 0, 0)",brown,-0.045,"shrink, abundantly, notable, unique, learn, and, submissive"
200,0,50,"(200, 0, 50)",pink,0.079,"ambitious, exquisite, and, place, incredibily, category"
200,0,100,"(200, 0, 100)",pink,0.079,"ambitious, exquisite, and, place, incredibily, category"
200,0,150,"(200, 0, 150)",pink,0.079,"ambitious, exquisite, and, place, incredibily, category"
200,0,200,"(200, 0, 200)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
200,0,250,"(200, 0, 250)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
200,50,0,"(200, 50, 0)",brown,-0.045,"shrink, abundantly, notable, unique, learn, and, submissive"
200,50,50,"(200, 50, 50)",brown,-0.045,"shrink, abundantly, notable, unique, learn, and, submissive"
200,50,100,"(200, 50, 100)",pink,0.079,"ambitious, exquisite, and, place, incredibily, category"
200,50,150,"(200, 50, 150)",pink,0.079,"ambitious, exquisite, and, place, incredibily, category"
200,50,200,"(200, 50, 200)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
200,50,250,"(200, 50, 250)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
200,100,0,"(200, 100, 0)",orange,0.05,"awesome, drop, hit, artesian, blurry"
200,100,50,"(200, 100, 50)",orange,0.05,"awesome, drop, hit, artesian, blurry"
200,100,100,"(200, 100, 100)",nude,0.07,"unextenuable, felicitously, jump, satisfied, deft, approach"
200,100,150,"(200, 100, 150)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
200,100,200,"(200, 100, 200)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
200,100,250,"(200, 100, 250)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
200,150,0,"(200, 150, 0)",orange,0.05,"awesome, drop, hit, artesian, blurry"
200,150,50,"(200, 150, 50)",orange,0.05,"awesome, drop, hit, artesian, blurry"
200,150,100,"(200, 150, 100)",nude,0.07,"unextenuable, felicitously, jump, satisfied, deft, approach"
200,150,150,"(200, 150, 150)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
200,150,200,"(200, 150, 200)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
200,150,250,"(200, 150, 250)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
200,200,0,"(200, 200, 0)",gold,-0.03,"lotiform, hide, undepartable, preflorating, pull, technocracy"
200,200,50,"(200, 200, 50)",gold,-0.03,"lotiform, hide, undepartable, preflorating, pull, technocracy"
200,200,100,"(200, 200, 100)",nude,0.07,"unextenuable, felicitously, jump, satisfied, deft, approach"
200,200,150,"(200, 200, 150)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
200,200,200,"(200, 200, 200)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
200,200,250,"(200, 200, 250)",white,0.0,"hope, unlavish, analeptical, block"
200,250,0,"(200, 250, 0)",yellow,0.013,"exhilerating, array, authority, plausible, redressible, structure"
200,250,50,"(200, 250, 50)",yellow,0.013,"exhilerating, array, authority, plausible, redressible, structure"
200,250,100,"(200, 250, 100)",nude,0.07,"unextenuable, felicitously, jump, satisfied, deft, approach"
200,250,150,"(200, 250, 150)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
200,250,200,"(200, 250, 200)",white,0.0,"hope, unlavish, analeptical, block"
200,250,250,"(200, 250, 250)",white,0.0,"hope, unlavish, analeptical, block"
250,0,0,"(250, 0, 0)",red,0.0,"apophantic, radiant, candid, and, limit, distinct, cry"
250,0,50,"(250, 0, 50)",pink,0.079,"ambitious, exquisite, and, place, incredibily, category"
250,0,100,"(250, 0, 100)",pink,0.079,"ambitious, exquisite, and, place, incredibily, category"
250,0,150,"(250, 0, 150)",pink,0.079,"ambitious, exquisite, and, place, incredibily, category"
250,0,200,"(250, 0, 200)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
250,0,250,"(250, 0, 250)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
250,50,0,"(250, 50, 0)",red,0.0,"apophantic, radiant, candid, and, limit, distinct, cry"
250,50,50,"(250, 50, 50)",pink,0.079,"ambitious, exquisite, and, place, incredibily, category"
250,50,100,"(250, 50, 100)",pink,0.079,"ambitious, exquisite, and, place, incredibily, category"
250,50,150,"(250, 50, 150)",pink,0.079,"ambitious, exquisite, and, place, incredibily, category"
250,50,200,"(250, 50, 200)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
250,50,250,"(250, 50, 250)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
250,100,0,"(250, 100, 0)",orange,0.05,"awesome, drop, hit, artesian, blurry"
250,100,50,"(250, 100, 50)",orange,0.05,"awesome, drop, hit, artesian, blurry"
250,100,100,"(250, 100, 100)",nude,0.07,"unextenuable, felicitously, jump, satisfied, deft, approach"
250,100,150,"(250, 100, 150)",nude,0.07,"unextenuable, felicitously, jump, satisfied, deft, approach"
250,100,200,"(250, 100, 200)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
250,100,250,"(250, 100, 250)",purple,0.401,"gifted, free, great, imaginative, perfectly, brave, cheer"
250,150,0,"(250, 150, 0)",orange,0.05,"awesome, drop, hit, artesian, blurry"
250,150,50,"(250, 150, 50)",orange,0.05,"awesome, drop, hit, artesian, blurry"
250,150,100,"(250, 150, 100)",nude,0.07,"unextenuable, felicitously, jump, satisfied, deft, approach"
250,150,150,"(250, 150, 150)",nude,0.07,"unextenuable, felicitously, jump, satisfied, deft, approach"
250,150,200,"(250, 150, 200)",nude,0.07,"unextenuable, felicitously, jump, satisfied, deft, approach"
250,150,250,"(250, 150, 250)",white,0.0,"hope, unlavish, analeptical, block"
250,200,0,"(250, 200, 0)",gold,-0.03,"lotiform, hide, undepartable, preflorating, pull, technocracy"
250,200,50,"(250, 200, 50)",gold,-0.03,"lotiform, hide, undepartable, preflorating, pull, technocracy"
250,200,100,"(250, 200, 100)",nude,0.07,"unextenuable, felicitously, jump, satisfied, deft, approach"
250,200,150,"(250, 200, 150)",nude,0.07,"unextenuable, felicitously, jump, satisfied, deft, approach"
250,200,200,"(250, 200, 200)",white,0.0,"hope, unlavish, analeptical, block"
250,200,250,"(250, 200, 250)",white,0.0,"hope, unlavish, analeptical, block"
250,250,0,"(250, 250, 0)",yellow,0.013,"exhilerating, array, authority, plausible, redressible, structure"
250,250,50,"(250, 250, 50)",yellow,0.013,"exhilerating, array, authority, plausible, redressible, structure"
250,250,100,"(250, 250, 100)",nude,0.07,"unextenuable, felicitously, jump, satisfied, deft, approach"
250,250,150,"(250, 250, 150)",nude,0.07,"unextenuable, felicitously, jump, satisfied, deft, approach"
250,250,200,"(250, 250, 200)",white,0.0,"hope, unlavish, analeptical, block"
250,250,250,"(250, 250, 250)",white,0.0,"hope, unlavish, analeptical, block"
